k,inertia,silhouette,nmi,ari,ami,variant,vocabulary,n_components
31,1440.1741835029745,-0.025723976155513986,0.1947543186796045,0.032347385883607714,0.15223140554330497,default,27379,300
32,1435.1163516264908,-0.024266065078409116,0.20313771752401769,0.033249929282769146,0.15950570600356664,default,27379,300
33,1432.9866165456458,-0.023753980667004956,0.2075867657960098,0.033858608605297824,0.1628753873552008,default,27379,300
34,1430.8389899142744,-0.023702731235262658,0.2074423041407724,0.03356357669643913,0.16167063745039154,default,27379,300
35,1428.976135490005,-0.023473092944464907,0.21186565997357273,0.03414954658781014,0.16515551949405996,default,27379,300
36,1425.2349026758575,-0.02232300984533783,0.21040319060556206,0.033287129435012296,0.16182105986684397,default,27379,300
37,1423.1937299014646,-0.021564216912484033,0.21119387247188637,0.033494056949369654,0.16174471857989253,default,27379,300
38,1425.7199139726472,-0.025204983212756635,0.21778650461204813,0.03374609498740985,0.1669811674511279,default,27379,300
39,1423.6519816780692,-0.02457366416398669,0.21895933258298733,0.03387135291226984,0.16714071878297299,default,27379,300
40,1422.2987977343205,-0.024708271767034815,0.2204466280554163,0.03313759743001788,0.16745970849954323,default,27379,300
2,1312.7241865619508,0.05486082133409853,0.04993471875810065,0.015605010312703931,0.04731140241430679,min_df5,5062,100
3,1295.2471968391253,0.05047664433631962,0.08892319104258847,0.02554526830069745,0.08431972695696358,min_df5,5062,100
4,1275.0863745342563,0.025816144358499205,0.07752205057021948,0.023160029283134775,0.07099379342762456,min_df5,5062,100
5,1262.79422817147,0.01955407403842023,0.10483518799435781,0.0353997221566957,0.09675635630510794,min_df5,5062,100
6,1252.9894454465566,0.022325512757016032,0.1272602611966602,0.03864518969512055,0.11763375435948133,min_df5,5062,100
7,1237.8273927262608,0.022673701530053287,0.14054107910968086,0.04273325761742026,0.12933803043230305,min_df5,5062,100
8,1225.7152177969892,0.015747432674420934,0.11332138869333666,0.0363720716164827,0.10003263509466521,min_df5,5062,100
9,1227.7605808253857,0.0190458475596442,0.15728736186722556,0.041416921878449205,0.1420866318024239,min_df5,5062,100
10,1217.349599461547,0.004968846046739984,0.16629837753282592,0.0473120166206231,0.15001944444576373,min_df5,5062,100
11,1203.481332791507,0.02262477983491792,0.18987399687418777,0.051355081847688035,0.17225472161114058,min_df5,5062,100
12,1194.8623477630294,0.021489650781547187,0.1935094960524899,0.0568093833986964,0.1746698130851214,min_df5,5062,100
13,1188.7211021367448,0.019630638184875097,0.1900560004957298,0.0564016212583847,0.1696078080868684,min_df5,5062,100
14,1177.6417108690425,0.014147751296866429,0.18578864748655402,0.05584210096640536,0.16427923464055788,min_df5,5062,100
15,1171.3125236509238,0.015202047711415367,0.17765117997123986,0.051669058880372674,0.15430357265899877,min_df5,5062,100
16,1164.744419187978,0.016166478779654932,0.19809968417147686,0.05802239100615053,0.17364868460220775,min_df5,5062,100
17,1157.4276121349449,0.016642788525712306,0.19757752731935643,0.05492196955204716,0.17177950353901997,min_df5,5062,100
18,1153.2134839256669,0.021609909605774375,0.20458488302201064,0.06187543858006144,0.1775543672214595,min_df5,5062,100
19,1149.3737635783332,0.021240886157960562,0.20884477770278298,0.06263178974686343,0.18070700266268405,min_df5,5062,100
20,1144.395770407274,0.01829139960591655,0.20164131652784897,0.05798590161348761,0.17195174876536365,min_df5,5062,100
21,1141.8369941182245,0.017207421370748106,0.23572135466079655,0.07146480105426459,0.20629752335561297,min_df5,5062,100
22,1135.3194174453733,0.019017695458464816,0.24523878269491253,0.08000189245271486,0.21515406606552823,min_df5,5062,100
23,1130.926971047303,0.019310625493487863,0.2492552723573364,0.0804292450133842,0.21771178812734332,min_df5,5062,100
24,1123.132990045464,0.022253354366852374,0.24590290316770871,0.07467101460671587,0.2128330714719904,min_df5,5062,100
25,1119.1108209579431,0.020679166481624406,0.24879464941837004,0.07625478312121055,0.21439307799845092,min_df5,5062,100
26,1112.21048867745,0.020991869148253486,0.2469249337492192,0.07783702118750589,0.21138114857972468,min_df5,5062,100
27,1106.2310249089444,0.02245137033346157,0.25272917365767755,0.07594878979623351,0.21593826400739008,min_df5,5062,100
28,1100.010595455152,0.023871017781604647,0.2620081002983874,0.07892297501162134,0.2240811980475501,min_df5,5062,100
29,1101.5191489009937,0.02403634252315901,0.26114451320909615,0.0798863505968666,0.2221184498973284,min_df5,5062,100
30,1095.0630974308692,0.02624067233104754,0.2662069300721905,0.08196540100799138,0.22613368371057374,min_df5,5062,100
31,1095.844689541247,0.024104194272029495,0.26346583821805886,0.0815894363006047,0.22195486438950368,min_df5,5062,100
32,1086.853032728009,0.02598547987999306,0.26364406761953846,0.08060463019122026,0.22066291896153034,min_df5,5062,100
33,1087.7854808153033,0.02475078822035007,0.26799355656222806,0.08115552082128369,0.22400402412523895,min_df5,5062,100
34,1085.2128362748517,0.024218236286751214,0.2650101291808673,0.08074255419825385,0.21959234158686722,min_df5,5062,100
35,1082.7398432735108,0.024659254785288336,0.26862972652457334,0.08192616142170125,0.2220543223921599,min_df5,5062,100
36,1073.294810701167,0.026992985872491194,0.27000481044672164,0.0794561078883004,0.2221078218494732,min_df5,5062,100
37,1066.567377101062,0.027125780377413367,0.26527722907132056,0.08270424150115371,0.21594272323427982,min_df5,5062,100
38,1077.2096954889905,0.022061358515638268,0.2687045617337848,0.07990620521008028,0.2182715687574895,min_df5,5062,100
39,1070.2120736156082,0.024206420769603557,0.2777809450742816,0.08209102119462833,0.2266629794825862,min_df5,5062,100
40,1062.7438948884217,0.026526039150872382,0.2774172412777214,0.08224160664285997,0.22498159829676742,min_df5,5062,100
2,1490.8246531414643,0.007119263776632424,0.037412945100991024,0.001431187848460996,0.03391737078579888,min_df5,5062,200
3,1439.3779937389013,0.016600038168862904,0.08468648614031613,0.019724695168161645,0.07947887340431799,min_df5,5062,200
4,1424.7013487856286,0.006788025252837564,0.07939590994367658,0.020240806501653615,0.07234420285315395,min_df5,5062,200
5,1419.3144170308233,-0.007056183472387705,0.0900897971782654,0.020893605427017178,0.08051179762634035,min_df5,5062,200
6,1406.8363822449676,-0.0032115153646800503,0.1015432506937969,0.02369959632678063,0.09020825801880286,min_df5,5062,200
7,1395.823434236023,-0.0007969317063861701,0.13549327458544796,0.03798659179539479,0.12318116875072105,min_df5,5062,200
8,1397.4882990830608,-0.0002812040298887819,0.11307786730858024,0.022675718522927685,0.09859030860462552,min_df5,5062,200
9,1386.9620423379447,-0.0016618283672206724,0.15809783275239983,0.039769510706197546,0.14315657172943527,min_df5,5062,200
